,ip,evar31,session_id,visit_page_num,cust_hit_time_gmt,new_visit,video_play,page_event,browser,browser_height,browser_width,click_action_type,click_context_type,click_sourceid,color,connection_type,cookies,country,curr_factor,curr_rate,cust_hit_time_gmt.1,cust_visid,daily_visitor,date_time,domain,rptg_st_name,duplicate_purchase,evar27,evar29,evar31.1,evar61,event_list,exclude_hit,first_hit_time_gmt,geo_city,geo_country,geo_dma,geo_region,geo_zip,hitid_high,hitid_low,hit_source,hit_time_gmt,homepage,hourly_visitor,ip.1,java_enabled,javascript,language,last_hit_time_gmt,last_purchase_num,last_purchase_time_gmt,mobile_id,monthly_visitor,new_visit.1,os,page_event.1,paid_search,persistent_cookie,post_browser_height,post_browser_width,post_campaign,post_cookies,post_currency,post_cust_hit_time_gmt,post_cust_visid,post_evar27,post_evar29,post_evar31,post_evar34,post_evar38,post_evar41,post_evar43,post_evar57,post_evar61,post_event_list,post_java_enabled,post_page_event,post_persistent_cookie,post_product_list,post_prop6,post_prop27,post_prop29,post_prop49,post_search_engine,post_t_time_info,post_visid_high,post_visid_low,post_visid_type,post_zip,prev_page,prop6,prop27,prop29,prop49,quarterly_visitor,ref_type,resolution,sampled_hit,search_engine,search_page_num,secondary_hit,service,sourceid,stats_server,truncated_hit,t_time_info,user_agent,user_hash,userid,username,va_closer_detail,va_closer_id,va_finder_detail,va_finder_id,va_instance_event,va_new_engagement,visid_high,visid_low,visid_new,visid_timestamp,visid_type,visit_num,visit_page_num.1,visit_search_engine,visit_start_time_gmt,weekly_visitor,yearly_visitor,session_id.1,video_viewed_duration,video_segment_view,video_play.1,video_complete,ppv_stream,premium_stream,live_stream,live_stream_stop,social_sharing,search_sucess,voice_search_sucess,search_failure,message_key_nitification,hit_id,login_visit_id,link_id,exit_url,referral_url,att_access_id,cust_type_desc,dt
0,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,1,1457386169,1,0,10,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386169,729858E202B780492B096020A0AE3F9C1E05,1,2016-03-07 13:29:29,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:29:28-0800,"507,514,513,515,128,130,160,103,126,225=1,197,137,156",0,1395860058,glendale,usa,803,ca,91204,3129712966832816128,5029642343238688210,1,1457386169,U,1,166.170.15.107,U,0,38,1457286321,0,0,205202,0,1,1986556880,10,0,Y,0,0,BAC-PG-CJ,U,USD,1457386169,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,002781432014,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:29:28-0800,"128,130,160,103,126,225,197,137,156",U,100,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:29:28 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,1,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297129668328161285029642343238688210,4025461384:2403281233,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2016-03-07
1,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,2,1457386203,0,0,10,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386203,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:03,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:03-0800,"507,514,513,515,148,128,109,130,154,160,101,120,126,114,282=1,197,137,156",0,1395860058,glendale,usa,803,ca,91204,3129713039848833024,6004536385054081090,1,1457386203,U,0,166.170.15.107,U,0,38,1457386169,0,0,205202,0,0,1986556880,10,0,Y,0,0,BAC-PG-CJ,U,USD,1457386203,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,002781432014,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:03-0800,"148,128,109,130,154,160,101,120,126,114,282=1.00,197,137,156",U,100,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:30:03 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,2,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297130398488330246004536385054081090,4025461384:2403281233,UNKNOWN,1:30PM,UNKNOWN,UNKNOWN,EXISTING,2016-03-07
2,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,3,1457386205,0,0,0,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386205,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:05,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:04-0800,"507,514,513,515,148,165,166,167,168,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156",0,1395860058,glendale,usa,803,ca,91204,3129713044142227456,5557747629641507725,1,1457386205,U,0,166.170.15.107,U,0,38,1457386203,0,0,205202,0,0,1986556880,0,0,Y,0,0,BAC-PG-CJ,U,USD,1457386205,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:04-0800,"148,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156,172",U,0,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,ss,0,duplicated.hit,N,07/02/2016 13:30:04 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,3,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297130441422274565557747629641507725,4025461384:2403281233,UNKNOWN,1:30PM,MONDAY,UNKNOWN,EXISTING,2016-03-07
3,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,4,1457386215,0,0,0,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386215,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:15,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:15-0800,"507,514,513,515,148,165,166,167,168,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156",0,1395860058,glendale,usa,803,ca,91204,3129713065617063936,4654635173843876563,1,1457386215,U,0,166.170.15.107,U,0,38,1457386205,0,0,205202,0,0,1986556880,0,0,Y,0,0,BAC-PG-CJ,U,USD,1457386215,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:15-0800,"148,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156,172",U,0,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,1903146295,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,ss,0,duplicated.hit,N,07/02/2016 13:30:15 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,4,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297130656170639364654635173843876563,4025461384:2403281233,UNKNOWN,1:30PM,MONDAY,UNKNOWN,EXISTING,2016-03-07
4,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,5,1457386231,0,0,0,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386231,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:31,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:31-0800,"507,514,513,515,148,165,166,167,168,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156",0,1395860058,glendale,usa,803,ca,91204,3129713099976802304,4848161315497238323,1,1457386231,U,0,166.170.15.107,U,0,38,1457386215,0,0,205202,0,0,1986556880,0,0,Y,0,0,BAC-PG-CJ,U,USD,1457386231,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:31-0800,"148,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156,172",U,0,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,2434279644,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,ss,0,duplicated.hit,N,07/02/2016 13:30:31 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,5,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297130999768023044848161315497238323,4025461384:2403281233,UNKNOWN,1:30PM,MONDAY,UNKNOWN,EXISTING,2016-03-07
5,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,6,1457386235,0,0,10,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386235,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:35,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:35-0800,"507,514,513,515,128,109,130,154,160,101,121,161,126,114,219=1,197,137,156",0,1395860058,glendale,usa,803,ca,91204,3129713108568309760,5650863137482615038,1,1457386235,U,0,166.170.15.107,U,0,38,1457386231,0,0,205202,0,0,1986556880,10,0,Y,0,0,BAC-PG-CJ,U,USD,1457386235,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:31-0800,"128,109,130,154,101,121,126,114,219,197,137,156,170,171",U,100,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:30:31 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,6,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297131085683097605650863137482615038,4025461384:2403281233,UNKNOWN,1:30PM,UNKNOWN,UNKNOWN,EXISTING,2016-03-07
6,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,7,1457386237,0,0,10,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386237,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:37,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:37-0800,"507,514,513,515,141,128,130,160,126,229=1,197,137,156",0,1395860058,glendale,usa,803,ca,91204,3129713112861704192,5004332673804547376,1,1457386237,U,0,166.170.15.107,U,0,38,1457386235,0,0,205202,0,0,1986556880,10,0,Y,0,0,BAC-PG-CJ,U,USD,1457386237,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:37-0800,"141,128,130,160,126,229,197,137,156",U,100,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:30:37 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,7,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,1,31297131128617041925004332673804547376,4025461384:2403281233,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2016-03-07
7,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,8,1457386237,0,0,10,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386237,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:37,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:37-0800,"507,514,513,515,148,128,109,130,154,160,101,121,161,126,114,219=1,197,137,156",0,1395860058,glendale,usa,803,ca,91204,3129713112861704192,5371423577985796417,1,1457386237,U,0,166.170.15.107,U,0,38,1457386237,0,0,205202,0,0,1986556880,10,0,Y,0,0,BAC-PG-CJ,U,USD,1457386237,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:37-0800,"148,128,109,130,154,101,121,126,114,219,197,137,156,170,171",U,100,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:30:37 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,8,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,0,0,0,0,0,0,0,0,0,0,0,31297131128617041925371423577985796417,4025461384:2403281233,UNKNOWN,1:30PM,UNKNOWN,UNKNOWN,EXISTING,2016-03-07
8,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,9,1457386244,0,1,50,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386244,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:30:44,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:41-0800,"507,514,513,515,502,500,504,503,701,128,106,109,130,160,151,150,169,162,121,161,126,111,114,222=1,176,197,137,156,149,288=1",0,1395860058,glendale,usa,803,ca,91204,3129713127895662592,5886563177386357289,1,1457386244,U,0,166.170.15.107,U,0,38,1457386237,0,0,205202,0,0,1986556880,50,0,Y,0,0,BAC-PG-CJ,U,USD,1457386244,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:37-0800,"502,500,504,503,701,128,106,109,130,151,150,169,162,121,126,111,114,222,176,197,137,156,149,288,170,171",U,50,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:30:37 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,9,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,0,0,1,0,0,1,0,0,0,0,0,0,0,31297131278956625925886563177386357289,4025461384:2403281233,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING,2016-03-07
9,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:210,10,1457386982,0,0,51,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457386982,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 13:43:02,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T13:30:41-0800,"502,500,504,503,704,700=87,501,703,522,523,528,720=40,723=0,731=0,715,716,719=0.55,128,106,109,130,160,151,150,169,162,121,161,126,111,114,205=87,176,149",0,1395860058,glendale,usa,803,ca,91204,3129714712737447936,5063173053599275675,1,1457386982,U,0,166.170.15.107,U,0,38,1457386244,0,0,205202,0,0,1986556880,51,0,Y,0,0,BAC-PG-CJ,U,USD,1457386982,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T13:30:37-0800,"502,500,504,503,704,700=87,501,703,128,106,109,130,151,150,169,162,121,126,111,114,205=87,176,149,707,708,711=0.55,170,171",U,51,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,pe,0,duplicated.hit,N,07/02/2016 13:30:37 0 000,DIRECTV/4.3.011 CFNetwork/758.2.8 Darwin/15.0.0,2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,210,10,0,1457386169,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:210,1,0,0,0,0,0,0,0,0,0,0,0,0,31297147127374479365063173053599275675,4025461384:2403281233,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,EXISTING,2016-03-07
10,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:211,1,1457393900,1,0,0,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457393900,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 15:38:20,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T15:38:18-0800,"507,514,513,515,148,165,166,167,168,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156",0,1395860058,glendale,usa,803,ca,91204,3129729569030471680,5741392461368966025,1,1457393900,U,1,166.170.15.107,U,0,38,1457386982,0,0,205202,0,1,1986556880,0,0,Y,0,0,BAC-PG-CJ,U,USD,1457393900,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T15:38:18-0800,"148,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156,172",U,0,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,0,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,ss,0,duplicated.hit,N,07/02/2016 15:38:18 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,211,1,0,1457393900,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:211,0,0,0,0,0,0,0,0,0,0,0,0,0,31297295690304716805741392461368966025,4025461384:2403281233,UNKNOWN,3:38PM,MONDAY,UNKNOWN,EXISTING,2016-03-07
11,166.170.15.107,5311409,DTVAPPIPHONEPROD:4025461384:2403281233:211,2,1457393911,0,0,0,2661327960,0,0,0,0,0,0,4,U,304,2,1.0,1457393911,729858E202B780492B096020A0AE3F9C1E05,0,2016-03-07 15:38:31,mycingular.net,DTVAPPIPHONEPROD,0,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,2016-03-07T15:38:31-0800,"507,514,513,515,148,165,166,167,168,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156",0,1395860058,glendale,usa,803,ca,91204,3129729592652791808,5272490353331568306,1,1457393911,U,0,166.170.15.107,U,0,38,1457393900,0,0,205202,0,0,1986556880,0,0,Y,0,0,BAC-PG-CJ,U,USD,1457393911,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,5311409,NO_ACCESSCARDID,iOS DVRScheduler 4.3.010,it|EP011775780080|White Collar,No Cart,DVR,2016-03-07T15:38:31-0800,"148,110,128,131,153,109,130,154,160,133,162,126,114,197,137,139,156,172",U,0,Y,;;;;,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,00/00/0000 00:00:00 0 480,4025461384,2403281233,0,::hash::0,2935734230,5311409,MP|Null|Null|Null|Null|3549501267_phx,A9AA70DBADC54FF9971E4D2BBD292EAA,dtvappiphoneprod,0,6,0,Y,0,0,1,ss,0,duplicated.hit,N,07/02/2016 15:38:31 0 000,Mozilla/5.0 (iPhone; CPU OS 9_2_1 like Mac OS X; en-US),2954868659,180087,dtvglobalvisitor,::hash::3446295893,10,::hash::1468169849,6,0,0,3115984507599669781,4611692658446861487,N,1450993357,3,211,2,0,1457393900,0,0,DTVAPPIPHONEPROD:4025461384:2403281233:211,0,0,0,0,0,0,0,0,0,0,0,0,0,31297295926527918085272490353331568306,4025461384:2403281233,UNKNOWN,3:38PM,MONDAY,UNKNOWN,EXISTING,2016-03-07
